id,query,source,origin
Q060,"더 마인드 비슷한 카드게임",synthetic,synthetic/v1
Q061,"코드네임즈 같은 팀 게임",synthetic,synthetic/v1
Q062,"세븐원더스 4인 가능?",synthetic,synthetic/v1
Q063,"Stone Age",synthetic,synthetic/v1
Q064,"Lost Cities",synthetic,synthetic/v1
Q065,"리코셰 로봇",synthetic,synthetic/v1
Q066,"Rummikub",synthetic,synthetic/v1
Q067,"워커 플레이스맨트 게임 이름이 생각 안나요",synthetic,synthetic/v1
Q068,"예전에 하던 타일 놓는 게임인데 이름을 모르겠어요",synthetic,synthetic/v1
Q069,"영문 제목에 crew 들어가는 협력 카드게임",synthetic,synthetic/v1
Q070,"이름이 한 단어였던 추리 보드게임",synthetic,synthetic/v1
Q071,"카드로 도시를 만드는 게임 이름 찾기",synthetic,synthetic/v1
Q072,"스톤에이지?",synthetic,synthetic/v1
Q073,"카르카손 비슷한 게임",synthetic,synthetic/v1
Q074,"catan 같은 게임",synthetic,synthetic/v1
Q075,"Bohnanza 한글 이름",synthetic,synthetic/v1
Q076,"게임명이 기억 안 나는데 배를 타고 가는 보드게임",synthetic,synthetic/v1
Q077,"일꾼 놓기 말고 액션을 먼저 선택하는 게임",synthetic,synthetic/v1
Q078,"카드를 여러 용도로 쓰는 게임",synthetic,synthetic/v1
Q079,"주사위 굴린 뒤 결과를 다시 굴릴 수 있는 게임",synthetic,synthetic/v1
Q080,"덱을 직접 만들어 가는 게임",synthetic,synthetic/v1
Q081,"타일을 이어 붙여 길을 만드는 게임",synthetic,synthetic/v1
Q082,"경매에서 서로 가격을 올리는 게임",synthetic,synthetic/v1
Q083,"카드 드래프팅 방식",synthetic,synthetic/v1
Q084,"세트 컬렉션 게임 추천",synthetic,synthetic/v1
Q085,"지역을 차지하고 영향력을 겨루는 게임",synthetic,synthetic/v1
Q086,"hidden role 있는 보드게임",synthetic,synthetic/v1
Q087,"내 차례에 할 일을 고르는 게 아니라 동시에 정하는 게임",synthetic,synthetic/v1
Q088,"내가 고른 것을 다음 사람은 못 고르게 되는 게임",synthetic,synthetic/v1
Q089,"자원 모아서 건물이나 길을 확장하는 게임",synthetic,synthetic/v1
Q090,"카드 순서를 바꾸지 못해서 계획을 세워야 하는 게임",synthetic,synthetic/v1
Q091,"상대가 뭘 낼지 보고 내 선택을 바꾸는 게임",synthetic,synthetic/v1
Q092,"주사위 운을 감수하고 더 욕심내는 게임",synthetic,synthetic/v1
Q093,"점수 대신 지역을 연결하는 게 중요한 게임",synthetic,synthetic/v1
Q094,"한 판마다 맵이 달라지는 게임",synthetic,synthetic/v1
Q095,"라운드마다 역할이 바뀌는 게임",synthetic,synthetic/v1
Q096,"규칙서 없이도 바로 해볼 수 있는 보드게임",synthetic,synthetic/v1
Q097,"서로 상의하면서 공동 목표를 달성하는 게임",synthetic,synthetic/v1
Q098,"팀 안에서 의논을 많이 해야 하는 게임",synthetic,synthetic/v1
Q099,"친구를 속이거나 거짓말을 잡아내는 게임",synthetic,synthetic/v1
Q100,"배신자가 섞여 있는 협력 게임",synthetic,synthetic/v1
Q101,"거래하고 흥정하는 재미가 큰 게임",synthetic,synthetic/v1
Q102,"직접 공격 없이 경쟁하는 게임",synthetic,synthetic/v1
Q103,"한 사람의 선택이 모두에게 영향을 주는 게임",synthetic,synthetic/v1
Q104,"서로 눈치 보며 동시에 카드를 내는 게임",synthetic,synthetic/v1
Q105,"실수해도 탈락하지 않는 협력 게임",synthetic,synthetic/v1
Q106,"말을 많이 해야 잘 풀리는 게임",synthetic,synthetic/v1
Q107,"가볍고 웃긴 게임",synthetic,synthetic/v1
Q108,"긴장감 있지만 너무 무겁지 않은 게임",synthetic,synthetic/v1
Q109,"조용히 생각하는 맛이 있는 게임",synthetic,synthetic/v1
Q110,"운보다 전략이 중요한 게임",synthetic,synthetic/v1
Q111,"한 판이 끝나도 다시 하고 싶은 게임",synthetic,synthetic/v1
Q112,"초보에게 설명하기 쉬운 게임",synthetic,synthetic/v1
Q113,"보드게임 처음인 사람 5분 안에 가르칠 수 있는 게임",synthetic,synthetic/v1
Q114,"아이와 같이 해도 규칙이 복잡하지 않은 게임",synthetic,synthetic/v1
Q115,"실력 차이가 나도 덜 억울한 게임",synthetic,synthetic/v1
Q116,"계속 선택할 게 많아서 지루하지 않은 게임",synthetic,synthetic/v1
Q117,"우주를 탐험하는 보드게임",synthetic,synthetic/v1
Q118,"중세 도시를 건설하는 게임",synthetic,synthetic/v1
Q119,"바다와 항해가 배경인 게임",synthetic,synthetic/v1
Q120,"고대 문명 테마 게임",synthetic,synthetic/v1
Q121,"판타지 모험하는 게임",synthetic,synthetic/v1
Q122,"정치나 협상 테마가 있는 게임",synthetic,synthetic/v1
Q123,"농장이나 자원 생산이 나오는 게임",synthetic,synthetic/v1
Q124,"탐정처럼 단서를 모으는 추리 게임",synthetic,synthetic/v1
Q125,"이야기가 이어지는 캠페인 게임",synthetic,synthetic/v1
Q126,"전쟁 지도에서 부대를 움직이는 게임",synthetic,synthetic/v1
Q127,"2명이서 20분 안에 끝나는 게임",synthetic,synthetic/v1
Q128,"3~4명이서 45분 이하",synthetic,synthetic/v1
Q129,"5명 이상이 할 수 있는 짧은 게임",synthetic,synthetic/v1
Q130,"7세 이상 아이와 할 게임",synthetic,synthetic/v1
Q131,"두 명부터 네 명까지 60분 안쪽",synthetic,synthetic/v1
Q132,"4인 고정으로 30분 이하",synthetic,synthetic/v1
Q133,"1인도 가능한 게임",synthetic,synthetic/v1
Q134,"6명에서 할 수 있는 파티게임",synthetic,synthetic/v1
Q135,"90분 넘지 않는 전략 게임",synthetic,synthetic/v1
Q136,"플레이어 3명, 최대 30분, 협력",synthetic,synthetic/v1
Q137,"연인 둘이서 주말에 할 게임",synthetic,synthetic/v1
Q138,"친구들 처음 만난 자리에서 어색하지 않게 할 게임",synthetic,synthetic/v1
Q139,"부모님과 같이 할 수 있는 게임",synthetic,synthetic/v1
Q140,"초등학생 포함 가족 모임용",synthetic,synthetic/v1
Q141,"여섯 명 모인 파티에서 말 많이 하는 게임",synthetic,synthetic/v1
Q142,"혼자 퇴근 후 30분 즐길 게임",synthetic,synthetic/v1
Q143,"보드게임 모임에서 다음 게임으로 추천할 만한 것",synthetic,synthetic/v1
Q144,"작은 테이블에서 할 수 있는 게임",synthetic,synthetic/v1
Q145,"4명이서 30분 안에 초보자도 할 수 있는 협력 게임",synthetic,synthetic/v1
Q146,"2인용이고 60분 이내인데 운보다 생각하는 게임",synthetic,synthetic/v1
Q147,"6명이 45분 안에 처음 온 사람도 참여하는 파티 게임",synthetic,synthetic/v1
Q148,"아이랑 가족끼리 45분 안에 할 수 있는 쉬운 타일 게임",synthetic,synthetic/v1
Q149,"tile placement 3-4 players under 45 minutes",synthetic,synthetic/v1
Q150,"3명 이상 90분 이내에 이야기와 협력이 함께 있는 게임",synthetic,synthetic/v1
